Background file generated from
/data/nwp1/frln/ssmis1dvar_project/noisy_1_us_standard.dat
43 fixed layers
With simulated errors based on B-matrix
 
 
 
 
 
x------------------- End of Header------------------------------------x
No. Background Profiles:           2
  143.8400000    217.03600 6.864453e+00 1.000000e+03 0.000000e+00
  122.0400000    216.34400 4.965973e+00 1.000000e+03 0.000000e+00
  102.0500000    215.07800 4.116652e+00 1.000000e+03 0.000000e+00
   85.1800000    214.93800 3.846863e+00 1.000000e+03 0.000000e+00
   69.9700000    215.43100 3.836878e+00 1.000000e+03 0.000000e+00
   56.7300000    215.73100 3.896833e+00 1.000000e+03 0.000000e+00
   45.2900000    216.55100 4.006743e+00 1.000000e+03 0.000000e+00
   35.5100000    218.20000 4.166606e+00 1.000000e+03 0.000000e+00
   27.2600000    220.34400 4.366456e+00 1.000000e+03 0.000000e+00
   20.4000000    223.07700 4.506335e+00 1.000000e+03 0.000000e+00
   14.8100000    226.00000 4.636229e+00 1.000000e+03 0.000000e+00
   10.3700000    228.36800 4.756139e+00 1.000000e+03 0.000000e+00
    6.9500000    231.99900 4.856064e+00 1.000000e+03 0.000000e+00
    4.4100000    242.50400 4.935988e+00 1.000000e+03 0.000000e+00
    2.6100000    256.51300 5.055898e+00 1.000000e+03 0.000000e+00
    1.4200000    267.84400 5.215762e+00 1.000000e+03 0.000000e+00
    0.6900000    270.77500 5.195777e+00 1.000000e+03 0.000000e+00
    0.2900000    254.92700 4.886033e+00 1.000000e+03 0.000000e+00
    0.1000000    234.90400 4.106667e+00 1.000000e+03 0.000000e+00
Surface Temperature (K):       288.20000
Surface Humidity (ppmv):    7.831952e+03
Skin Temperature (K):         288.20000
Surface Pressure (hPa):       1013.2500
10m U-Wind (m/s):             5.3595300
10m V-Wind (m/s):             5.3595300
x---------------------------------------------------------------------x
Profile #       2 Follows
x------------------------------------------x
 1013.2500000    288.46600 9.888938e+03 1.000000e+03 0.000000e+00
 1005.4300000    287.94700 8.885800e+03 1.000000e+03 0.000000e+00
  985.8800000    286.61800 6.931171e+03 1.000000e+03 0.000000e+00
  957.4400000    284.48600 5.313427e+03 1.000000e+03 0.000000e+00
  922.4600000    281.98900 3.366825e+03 1.000000e+03 0.000000e+00
  882.8000000    279.16700 2.102024e+03 1.000000e+03 0.000000e+00
  839.9500000    276.43800 2.250503e+03 1.000000e+03 0.000000e+00
  795.0900000    273.47600 3.192183e+03 1.000000e+03 0.000000e+00
  749.1200000    269.31100 8.771544e+03 1.000000e+03 1.362400e-04
  702.7300000    265.13300 1.073179e+04 1.000000e+03 1.362400e-04
  656.4300000    262.06000 4.841629e+03 1.000000e+03 0.000000e+00
  610.6000000    258.82700 3.164484e+03 1.000000e+03 0.000000e+00
  565.5400000    254.51900 1.464708e+03 1.000000e+03 0.000000e+00
  521.4600000    249.51500 6.898316e+02 1.000000e+03 0.000000e+00
  478.5400000    245.83000 5.249131e+02 1.000000e+03 0.000000e+00
  436.9500000    242.77200 6.047624e+02 1.000000e+03 0.000000e+00
  396.8100000    239.22900 5.663419e+02 1.000000e+03 0.000000e+00
  358.2800000    234.99900 3.706512e+02 1.000000e+03 0.000000e+00
  321.5000000    230.79200 3.149158e+02 1.000000e+03 0.000000e+00
  286.6000000    227.19400 1.119285e+02 1.000000e+03 0.000000e+00
  253.7100000    223.64500 6.005669e+01 1.000000e+03 0.000000e+00
  222.9400000    220.58400 3.387402e+01 1.000000e+03 0.000000e+00
  194.3600000    218.74800 1.998431e+01 1.000000e+03 0.000000e+00
  167.9500000    219.23600 1.159071e+01 1.000000e+03 0.000000e+00
  143.8400000    218.97100 6.864453e+00 1.000000e+03 0.000000e+00
  122.0400000    217.79900 4.965973e+00 1.000000e+03 0.000000e+00
  102.0500000    218.17500 4.116652e+00 1.000000e+03 0.000000e+00
   85.1800000    218.57000 3.846863e+00 1.000000e+03 0.000000e+00
   69.9700000    217.55900 3.836878e+00 1.000000e+03 0.000000e+00
   56.7300000    216.59400 3.896833e+00 1.000000e+03 0.000000e+00
   45.2900000    216.87700 4.006743e+00 1.000000e+03 0.000000e+00
   35.5100000    218.21000 4.166606e+00 1.000000e+03 0.000000e+00
   27.2600000    220.20100 4.366456e+00 1.000000e+03 0.000000e+00
   20.4000000    223.94500 4.506335e+00 1.000000e+03 0.000000e+00
   14.8100000    226.78400 4.636229e+00 1.000000e+03 0.000000e+00
   10.3700000    228.89400 4.756139e+00 1.000000e+03 0.000000e+00
    6.9500000    234.50400 4.856064e+00 1.000000e+03 0.000000e+00
    4.4100000    241.90400 4.935988e+00 1.000000e+03 0.000000e+00
    2.6100000    253.49800 5.055898e+00 1.000000e+03 0.000000e+00
    1.4200000    266.35400 5.215762e+00 1.000000e+03 0.000000e+00
    0.6900000    267.03000 5.195777e+00 1.000000e+03 0.000000e+00
    0.2900000    248.24800 4.886033e+00 1.000000e+03 0.000000e+00
    0.1000000    216.90300 4.106667e+00 1.000000e+03 0.000000e+00
Surface Temperature (K):       288.20000
Surface Humidity (ppmv):    7.831952e+03
Skin Temperature (K):         288.20000
Surface Pressure (hPa):       1013.2500
10m U-Wind (m/s):             7.3467400
10m V-Wind (m/s):             7.3467400
